Model,Accuracy,F1 Score (weighted),MCC,Balanced Accuracy,TP,TN,FP,FN
svm,1.0,1.0,1.0,1.0,6,6,0,0
decision,0.9166666666666666,0.9160839160839161,0.8451542547285166,0.9166666666666667,5,6,0,1
random,1.0,1.0,1.0,1.0,6,6,0,0
naive,1.0,1.0,1.0,1.0,6,6,0,0
mlp,1.0,1.0,1.0,1.0,6,6,0,0
logistic,1.0,1.0,1.0,1.0,6,6,0,0
boosting,0.8333333333333334,0.8285714285714286,0.7071067811865476,0.8333333333333333,4,6,0,2
k-nearest,1.0,1.0,1.0,1.0,6,6,0,0
svm,0.9166666666666666,0.9131652661064426,0.816496580927726,0.875,3,8,0,1
decision,0.9166666666666666,0.9131652661064426,0.816496580927726,0.875,3,8,0,1
random,0.9166666666666666,0.9131652661064426,0.816496580927726,0.875,3,8,0,1
naive,0.9166666666666666,0.9131652661064426,0.816496580927726,0.875,3,8,0,1
mlp,0.9166666666666666,0.9131652661064426,0.816496580927726,0.875,3,8,0,1
logistic,1.0,1.0,1.0,1.0,4,8,0,0
boosting,0.9166666666666666,0.9131652661064426,0.816496580927726,0.875,3,8,0,1
k-nearest,0.9166666666666666,0.9185185185185185,0.8366600265340756,0.9375,4,7,1,0
svm,0.8333333333333334,0.851851851851852,0.6324555320336759,0.9,2,8,2,0
decision,0.75,0.7815126050420167,0.5291502622129182,0.85,2,7,3,0
random,0.8333333333333334,0.851851851851852,0.6324555320336759,0.9,2,8,2,0
naive,0.8333333333333334,0.851851851851852,0.6324555320336759,0.9,2,8,2,0
mlp,0.8333333333333334,0.851851851851852,0.6324555320336759,0.9,2,8,2,0
logistic,0.75,0.7815126050420167,0.5291502622129182,0.85,2,7,3,0
boosting,0.8333333333333334,0.851851851851852,0.6324555320336759,0.9,2,8,2,0
k-nearest,0.75,0.7815126050420167,0.5291502622129182,0.85,2,7,3,0
svm,1.0,1.0,1.0,1.0,4,8,0,0
decision,0.9166666666666666,0.9185185185185185,0.8366600265340756,0.9375,4,7,1,0
random,0.9166666666666666,0.9185185185185185,0.8366600265340756,0.9375,4,7,1,0
naive,1.0,1.0,1.0,1.0,4,8,0,0
mlp,1.0,1.0,1.0,1.0,4,8,0,0
logistic,0.9166666666666666,0.9185185185185185,0.8366600265340756,0.9375,4,7,1,0
