Model,Accuracy,F1 Score (weighted),MCC,Balanced Accuracy,TP,TN,FP,FN
svm,1.0,1.0,1.0,1.0,6,6,0,0
decision,1.0,1.0,1.0,1.0,6,6,0,0
random,1.0,1.0,1.0,1.0,6,6,0,0
naive,1.0,1.0,1.0,1.0,6,6,0,0
mlp,1.0,1.0,1.0,1.0,6,6,0,0
logistic,1.0,1.0,1.0,1.0,6,6,0,0
boosting,1.0,1.0,1.0,1.0,6,6,0,0
k-nearest,1.0,1.0,1.0,1.0,6,6,0,0
svm,1.0,1.0,1.0,1.0,4,8,0,0
decision,1.0,1.0,1.0,1.0,4,8,0,0
random,1.0,1.0,1.0,1.0,4,8,0,0
naive,0.9166666666666666,0.9131652661064426,0.816496580927726,0.875,3,8,0,1
mlp,1.0,1.0,1.0,1.0,4,8,0,0
logistic,1.0,1.0,1.0,1.0,4,8,0,0
boosting,1.0,1.0,1.0,1.0,4,8,0,0
k-nearest,1.0,1.0,1.0,1.0,4,8,0,0
svm,0.75,0.7815126050420167,0.5291502622129182,0.85,2,7,3,0
decision,0.5833333333333334,0.6140350877192983,-0.25819888974716115,0.35,0,7,3,2
random,1.0,1.0,1.0,1.0,2,10,0,0
naive,1.0,1.0,1.0,1.0,2,10,0,0
mlp,0.8333333333333334,0.851851851851852,0.6324555320336759,0.9,2,8,2,0
logistic,1.0,1.0,1.0,1.0,2,10,0,0
boosting,1.0,1.0,1.0,1.0,2,10,0,0
k-nearest,0.8333333333333334,0.851851851851852,0.6324555320336759,0.9,2,8,2,0
svm,1.0,1.0,1.0,1.0,4,8,0,0
decision,1.0,1.0,1.0,1.0,4,8,0,0
random,1.0,1.0,1.0,1.0,4,8,0,0
naive,1.0,1.0,1.0,1.0,4,8,0,0
mlp,1.0,1.0,1.0,1.0,4,8,0,0
logistic,1.0,1.0,1.0,1.0,4,8,0,0
boosting,1.0,1.0,1.0,1.0,4,8,0,0
k-nearest,1.0,1.0,1.0,1.0,4,8,0,0
svm,1.0,1.0,1.0,1.0,4,8,0,0
decision,1.0,1.0,1.0,1.0,4,8,0,0
random,1.0,1.0,1.0,1.0,4,8,0,0
naive,1.0,1.0,1.0,1.0,4,8,0,0
mlp,0.9166666666666666,0.9185185185185185,0.8366600265340756,0.9375,4,7,1,0
logistic,0.5833333333333334,0.49122807017543857,-0.21320071635561041,0.4375,0,7,1,4
boosting,1.0,1.0,1.0,1.0,4,8,0,0
k-nearest,0.8333333333333334,0.8380952380952381,0.7071067811865476,0.875,4,6,2,0
svm,1.0,1.0,1.0,1.0,6,6,0,0
decision,1.0,1.0,1.0,1.0,6,6,0,0
random,1.0,1.0,1.0,1.0,6,6,0,0
naive,0.8333333333333334,0.8285714285714286,0.7071067811865476,0.8333333333333333,4,6,0,2
mlp,0.9166666666666666,0.9160839160839161,0.8451542547285166,0.9166666666666667,6,5,1,0
logistic,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,5,5,1,1
boosting,1.0,1.0,1.0,1.0,6,6,0,0
k-nearest,0.9166666666666666,0.9160839160839161,0.8451542547285166,0.9166666666666667,6,5,1,0
svm,0.9166666666666666,0.9185185185185185,0.8366600265340756,0.9375,7,4,0,1
decision,0.75,0.7552447552447553,0.5976143046671968,0.8125,5,4,0,3
random,0.8333333333333334,0.8380952380952381,0.7071067811865476,0.875,6,4,0,2
naive,0.5,0.45714285714285713,0.31622776601683794,0.625,2,4,0,6
mlp,0.9166666666666666,0.9185185185185185,0.8366600265340756,0.9375,7,4,0,1
logistic,0.75,0.7552447552447553,0.5976143046671968,0.8125,5,4,0,3
boosting,0.75,0.7552447552447553,0.5976143046671968,0.8125,5,4,0,3
k-nearest,0.5833333333333334,0.5687645687645687,0.408248290463863,0.6875,3,4,0,5
svm,1.0,1.0,1.0,1.0,6,6,0,0
decision,0.8333333333333334,0.8285714285714286,0.7071067811865476,0.8333333333333333,4,6,0,2
random,1.0,1.0,1.0,1.0,6,6,0,0
naive,1.0,1.0,1.0,1.0,6,6,0,0
mlp,1.0,1.0,1.0,1.0,6,6,0,0
logistic,0.9166666666666666,0.9160839160839161,0.8451542547285166,0.9166666666666667,5,6,0,1
boosting,1.0,1.0,1.0,1.0,6,6,0,0
k-nearest,1.0,1.0,1.0,1.0,6,6,0,0
svm,1.0,1.0,1.0,1.0,5,7,0,0
decision,1.0,1.0,1.0,1.0,5,7,0,0
random,1.0,1.0,1.0,1.0,5,7,0,0
naive,0.9166666666666666,0.9148148148148149,0.8366600265340756,0.9,4,7,0,1
mlp,0.8333333333333334,0.8333333333333334,0.6571428571428571,0.8285714285714285,4,6,1,1
logistic,1.0,1.0,1.0,1.0,5,7,0,0
boosting,0.9166666666666666,0.9148148148148149,0.8366600265340756,0.9,4,7,0,1
k-nearest,0.75,0.7444444444444445,0.47809144373375745,0.7285714285714285,3,6,1,2
svm,1.0,1.0,1.0,1.0,5,7,0,0
decision,1.0,1.0,1.0,1.0,5,7,0,0
random,1.0,1.0,1.0,1.0,5,7,0,0
naive,1.0,1.0,1.0,1.0,5,7,0,0
mlp,1.0,1.0,1.0,1.0,5,7,0,0
logistic,1.0,1.0,1.0,1.0,5,7,0,0
boosting,0.9166666666666666,0.9148148148148149,0.8366600265340756,0.9,4,7,0,1
k-nearest,1.0,1.0,1.0,1.0,5,7,0,0
